Year,Month,Day,Max Temperature (F),Min Temperature (F),"Rain, Melted Snow, Etc. (in)","Snow, Ice Pellets, Hail (in)","Snow, Ice Pellets, Hail, Ice on Ground (in)",Date,Total Entries,Total Exits
2017,1,1,56.0,37.0,0.0,0.0,0.0,2017-01-01,126572,125758
2017,1,3,46.0,43.0,0.86,0.0,0.0,2017-01-03,533522,531551
2017,1,4,57.0,35.0,0.001,0.0,0.0,2017-01-04,573746,571863
2017,1,5,37.0,30.0,0.001,0.001,0.0,2017-01-05,586069,583505
2017,1,6,35.0,27.0,0.001,0.001,0.0,2017-01-06,527594,524708
2017,1,7,27.0,19.0,0.01,0.4,0.0,2017-01-07,151107,149586
2017,1,8,25.0,15.0,0.0,0.0,0.001,2017-01-08,111246,109969
2017,1,9,29.0,16.0,0.0,0.0,0.0,2017-01-09,562860,559968
2017,1,10,41.0,22.0,0.0,0.0,0.0,2017-01-10,606250,603864
2017,1,11,57.0,35.0,0.07,0.0,0.0,2017-01-11,621719,619160
2017,1,12,72.0,51.0,0.02,0.0,0.0,2017-01-12,621746,618921
2017,1,13,65.0,43.0,0.001,0.0,0.0,2017-01-13,570974,567928
2017,1,14,43.0,34.0,0.29,0.001,0.0,2017-01-14,171870,170898
2017,1,15,49.0,36.0,0.0,0.0,0.0,2017-01-15,163810,162831
2017,1,17,53.0,41.0,0.21,0.0,0.0,2017-01-17,592235,590224
2017,1,18,60.0,44.0,0.0,0.0,0.0,2017-01-18,603530,600731
2017,1,19,53.0,40.0,0.0,0.0,0.0,2017-01-19,621583,615990
2017,1,20,49.0,39.0,0.01,0.0,0.0,2017-01-20,571716,566595
2017,1,21,50.0,47.0,0.001,0.0,0.0,2017-01-21,1005531,960186
2017,1,22,52.0,46.0,0.15,0.0,0.0,2017-01-22,185965,185590
2017,1,23,50.0,39.0,0.67,0.0,0.0,2017-01-23,596498,594471
2017,1,24,49.0,38.0,0.03,0.0,0.0,2017-01-24,635117,632763
2017,1,25,61.0,45.0,0.0,0.0,0.0,2017-01-25,635854,633094
2017,1,26,61.0,43.0,0.001,0.0,0.0,2017-01-26,641465,638744
2017,1,27,45.0,38.0,0.0,0.0,0.0,2017-01-27,648175,644688
2017,1,28,49.0,33.0,0.0,0.0,0.0,2017-01-28,232629,230156
2017,1,29,47.0,35.0,0.0,0.0,0.0,2017-01-29,176462,175334
2017,1,30,39.0,30.0,0.07,1.0,1.2,2017-01-30,583541,581288
2017,1,31,56.0,28.0,0.001,0.001,0.0,2017-01-31,627855,625120
2017,2,1,51.0,34.0,0.0,0.0,0.0,2017-02-01,637308,634637
2017,2,2,50.0,36.0,0.0,0.0,0.0,2017-02-02,635896,633309
2017,2,3,40.0,30.0,0.0,0.0,0.0,2017-02-03,574870,572203
2017,2,4,41.0,24.0,0.0,0.0,0.0,2017-02-04,208154,205490
2017,2,5,54.0,32.0,0.0,0.0,0.0,2017-02-05,135072,133111
2017,2,6,61.0,33.0,0.0,0.0,0.0,2017-02-06,579659,577049
2017,2,7,73.0,48.0,0.001,0.0,0.0,2017-02-07,624637,622273
2017,2,8,74.0,51.0,0.001,0.0,0.0,2017-02-08,625692,623713
2017,2,9,53.0,25.0,0.12,0.001,0.0,2017-02-09,612131,610004
2017,2,10,39.0,23.0,0.0,0.0,0.0,2017-02-10,570666,568384
2017,2,11,53.0,34.0,0.0,0.0,0.0,2017-02-11,211933,210420
2017,2,12,55.0,45.0,0.03,0.0,0.0,2017-02-12,131966,131270
2017,2,13,47.0,35.0,0.0,0.0,0.0,2017-02-13,578334,576282
2017,2,14,46.0,30.0,0.001,0.0,0.0,2017-02-14,609385,607237
2017,2,15,55.0,37.0,0.0,0.0,0.0,2017-02-15,613837,611419
2017,2,16,42.0,32.0,0.001,0.001,0.0,2017-02-16,605275,602866
2017,2,17,51.0,28.0,0.0,0.0,0.0,2017-02-17,544997,542721
2017,2,18,68.0,33.0,0.0,0.0,0.0,2017-02-18,237194,235407
2017,2,19,71.0,49.0,0.01,0.0,0.0,2017-02-19,188895,187755
2017,2,21,58.0,41.0,0.0,0.0,0.0,2017-02-21,593379,591174
2017,2,22,63.0,46.0,0.001,0.0,0.0,2017-02-22,615010,613000
2017,2,23,75.0,53.0,0.0,0.0,0.0,2017-02-23,621890,619531
2017,2,24,77.0,54.0,0.0,0.0,0.0,2017-02-24,589127,586438
2017,2,25,75.0,44.0,0.18,0.0,0.0,2017-02-25,202469,201423
2017,2,26,50.0,35.0,0.0,0.0,0.0,2017-02-26,154317,153585
2017,2,27,55.0,36.0,0.0,0.0,0.0,2017-02-27,585254,582974
2017,2,28,68.0,47.0,0.34,0.0,0.0,2017-02-28,633260,631210
2017,3,1,80.0,56.0,0.02,0.0,0.0,2017-03-01,627339,625246
2017,3,2,63.0,40.0,0.01,0.0,0.0,2017-03-02,640145,638206
2017,3,3,44.0,31.0,0.001,0.001,0.0,2017-03-03,578230,575996
2017,3,4,44.0,26.0,0.0,0.0,0.0,2017-03-04,230794,227661
2017,3,5,40.0,23.0,0.0,0.0,0.0,2017-03-05,157140,156099
2017,3,6,54.0,33.0,0.001,0.0,0.0,2017-03-06,599967,597664
2017,3,7,71.0,47.0,0.07,0.0,0.0,2017-03-07,636017,634026
2017,3,8,68.0,50.0,0.01,0.0,0.0,2017-03-08,640107,637417
2017,3,9,74.0,47.0,0.0,0.0,0.0,2017-03-09,654115,651602
2017,3,10,60.0,31.0,0.09,0.001,0.0,2017-03-10,590138,587511
2017,3,11,40.0,26.0,0.0,0.0,0.0,2017-03-11,275788,273903
2017,3,12,43.0,27.0,0.0,0.0,0.0,2017-03-12,168465,167392
2017,3,13,46.0,28.0,0.34,1.1,0.0,2017-03-13,602824,600679
2017,3,14,39.0,26.0,0.89,0.9,2.0,2017-03-14,271991,271075
2017,3,15,33.0,22.0,0.0,0.0,1.2,2017-03-15,601510,599072
2017,3,16,42.0,24.0,0.0,0.0,1.2,2017-03-16,648120,645376
2017,3,17,52.0,29.0,0.01,0.0,0.001,2017-03-17,599481,596720
2017,3,18,59.0,40.0,0.37,0.0,0.0,2017-03-18,244491,243140
2017,3,19,54.0,36.0,0.26,0.001,0.0,2017-03-19,167359,166523
2017,3,20,54.0,37.0,0.0,0.0,0.0,2017-03-20,609985,607682
2017,3,21,63.0,46.0,0.001,0.0,0.0,2017-03-21,660501,658160
2017,3,22,59.0,37.0,0.0,0.0,0.0,2017-03-22,655627,652875
2017,3,23,48.0,30.0,0.0,0.0,0.0,2017-03-23,655198,652460
2017,3,24,62.0,36.0,0.13,0.0,0.0,2017-03-24,601790,599126
2017,3,25,78.0,54.0,0.0,0.0,0.0,2017-03-25,324963,323405
2017,3,26,56.0,47.0,0.001,0.0,0.0,2017-03-26,180309,179570
2017,3,27,76.0,46.0,0.01,0.0,0.0,2017-03-27,610697,608367
2017,3,28,74.0,57.0,0.02,0.0,0.0,2017-03-28,641091,638883
2017,3,29,67.0,52.0,0.001,0.0,0.0,2017-03-29,661723,659332
2017,3,30,55.0,46.0,0.0,0.0,0.0,2017-03-30,656779,654357
2017,3,31,54.0,45.0,0.96,0.0,0.0,2017-03-31,574258,572117
2017,4,1,61.0,46.0,0.01,0.0,0.0,2017-04-01,311830,309916
2017,4,2,66.0,43.0,0.0,0.0,0.0,2017-04-02,233384,232442
2017,4,3,68.0,48.0,0.11,0.0,0.0,2017-04-03,654023,650829
2017,4,4,82.0,60.0,0.001,0.0,0.0,2017-04-04,676974,674579
2017,4,5,74.0,59.0,0.0,0.0,0.0,2017-04-05,692188,690046
2017,4,6,61.0,51.0,1.57,0.0,0.0,2017-04-06,632641,630528
2017,4,7,51.0,42.0,0.001,0.0,0.0,2017-04-07,604058,601673
2017,4,8,65.0,39.0,0.0,0.0,0.0,2017-04-08,321099,318965
2017,4,9,72.0,42.0,0.0,0.0,0.0,2017-04-09,217402,216483
2017,4,10,82.0,50.0,0.0,0.0,0.0,2017-04-10,642125,639685
2017,4,11,84.0,59.0,0.0,0.0,0.0,2017-04-11,681222,678263
2017,4,12,79.0,62.0,0.001,0.0,0.0,2017-04-12,684587,681307
2017,4,13,71.0,54.0,0.0,0.0,0.0,2017-04-13,684946,682279
2017,4,14,73.0,54.0,0.0,0.0,0.0,2017-04-14,621280,618627
2017,4,15,77.0,55.0,0.0,0.0,0.0,2017-04-15,307871,306227
2017,4,16,89.0,65.0,0.001,0.0,0.0,2017-04-16,190278,189309
2017,4,17,74.0,60.0,0.07,0.0,0.0,2017-04-17,559593,557418
2017,4,18,72.0,54.0,0.0,0.0,0.0,2017-04-18,643960,640207
2017,4,19,63.0,53.0,0.001,0.0,0.0,2017-04-19,654905,652446
2017,4,20,82.0,57.0,0.11,0.0,0.0,2017-04-20,653422,650603
2017,4,21,81.0,64.0,0.12,0.0,0.0,2017-04-21,610546,608036
2017,4,22,64.0,51.0,0.31,0.0,0.0,2017-04-22,341406,339591
2017,4,23,61.0,49.0,0.0,0.0,0.0,2017-04-23,179873,178787
2017,4,24,57.0,53.0,0.23,0.0,0.0,2017-04-24,593193,591325
2017,4,25,61.0,53.0,0.08,0.0,0.0,2017-04-25,630141,627996
2017,4,26,72.0,58.0,0.01,0.0,0.0,2017-04-26,655779,653089
2017,4,27,83.0,58.0,0.001,0.0,0.0,2017-04-27,654425,649924
2017,4,28,84.0,65.0,0.001,0.0,0.0,2017-04-28,602769,599817
2017,4,29,91.0,70.0,0.0,0.0,0.0,2017-04-29,320396,316571
2017,4,30,88.0,66.0,0.0,0.0,0.0,2017-04-30,172970,170941
2017,5,1,84.0,64.0,0.001,0.0,0.0,2017-05-01,592993,590091
2017,5,2,80.0,63.0,0.0,0.0,0.0,2017-05-02,642794,640708
2017,5,3,67.0,56.0,0.0,0.0,0.0,2017-05-03,648286,645840
2017,5,4,67.0,53.0,0.13,0.0,0.0,2017-05-04,657492,654576
2017,5,5,76.0,58.0,1.75,0.0,0.0,2017-05-05,545888,543700
2017,5,6,65.0,50.0,0.07,0.0,0.0,2017-05-06,219779,218176
2017,5,7,65.0,46.0,0.001,0.0,0.0,2017-05-07,165498,164485
2017,5,8,65.0,47.0,0.0,0.0,0.0,2017-05-08,589120,586620
2017,5,9,67.0,46.0,0.0,0.0,0.0,2017-05-09,633311,631091
2017,5,10,76.0,50.0,0.0,0.0,0.0,2017-05-10,668822,666129
2017,5,11,63.0,52.0,1.04,0.0,0.0,2017-05-11,626325,624633
2017,5,12,59.0,50.0,0.31,0.0,0.0,2017-05-12,594333,591564
2017,5,13,61.0,50.0,0.51,0.0,0.0,2017-05-13,234572,232047
2017,5,14,82.0,47.0,0.001,0.0,0.0,2017-05-14,191119,189320
2017,5,15,77.0,54.0,0.0,0.0,0.0,2017-05-15,599821,597182
2017,5,16,79.0,55.0,0.0,0.0,0.0,2017-05-16,640555,638284
2017,5,17,91.0,62.0,0.0,0.0,0.0,2017-05-17,645843,643529
2017,5,18,88.0,70.0,0.03,0.0,0.0,2017-05-18,652259,649426
2017,5,19,93.0,70.0,0.0,0.0,0.0,2017-05-19,592516,589941
2017,5,20,73.0,61.0,0.0,0.0,0.0,2017-05-20,240050,238412
2017,5,21,69.0,59.0,0.001,0.0,0.0,2017-05-21,179101,178128
2017,5,22,72.0,58.0,0.34,0.0,0.0,2017-05-22,598683,596152
2017,5,23,67.0,60.0,0.06,0.0,0.0,2017-05-23,653462,651668
2017,5,24,66.0,58.0,0.26,0.0,0.0,2017-05-24,654196,651892
2017,5,25,75.0,58.0,0.75,0.0,0.0,2017-05-25,621991,619524
2017,5,26,78.0,58.0,0.0,0.0,0.0,2017-05-26,559219,557041
2017,5,27,74.0,61.0,0.03,0.0,0.0,2017-05-27,246666,245189
2017,5,28,74.0,62.0,0.08,0.0,0.0,2017-05-28,222077,220706
2017,5,30,72.0,63.0,0.17,0.0,0.0,2017-05-30,595560,593617
2017,5,31,80.0,65.0,0.02,0.0,0.0,2017-05-31,629049,626766
2017,6,1,85.0,63.0,0.0,0.0,0.0,2017-06-01,647918,645706
2017,6,2,83.0,61.0,0.0,0.0,0.0,2017-06-02,598312,595501
2017,6,3,86.0,61.0,0.0,0.0,0.0,2017-06-03,235783,234473
2017,6,4,87.0,62.0,0.0,0.0,0.0,2017-06-04,178505,177636
2017,6,5,77.0,69.0,0.001,0.0,0.0,2017-06-05,612005,609760
2017,6,6,79.0,64.0,0.0,0.0,0.0,2017-06-06,669299,666675
2017,6,7,69.0,59.0,0.0,0.0,0.0,2017-06-07,666000,663723
2017,6,8,76.0,56.0,0.0,0.0,0.0,2017-06-08,688692,686141
2017,6,9,84.0,59.0,0.0,0.0,0.0,2017-06-09,637946,635777
2017,6,10,87.0,65.0,0.0,0.0,0.0,2017-06-10,320738,319140
2017,6,11,93.0,71.0,0.0,0.0,0.0,2017-06-11,253568,252653
2017,6,12,95.0,74.0,0.0,0.0,0.0,2017-06-12,655601,653067
2017,6,13,95.0,75.0,0.0,0.0,0.0,2017-06-13,699213,696951
2017,6,14,91.0,74.0,0.0,0.0,0.0,2017-06-14,695404,692803
2017,6,15,85.0,72.0,0.0,0.0,0.0,2017-06-15,682065,679841
2017,6,16,84.0,70.0,0.36,0.0,0.0,2017-06-16,613527,611553
2017,6,17,89.0,74.0,0.001,0.0,0.0,2017-06-17,253071,251779
2017,6,18,92.0,76.0,0.0,0.0,0.0,2017-06-18,182436,181731
2017,6,19,89.0,72.0,0.53,0.0,0.0,2017-06-19,599822,597240
2017,6,20,88.0,70.0,0.001,0.0,0.0,2017-06-20,675289,670121
2017,6,21,90.0,71.0,0.0,0.0,0.0,2017-06-21,673106,667624
2017,6,22,88.0,76.0,0.0,0.0,0.0,2017-06-22,662449,657375
2017,6,23,89.0,73.0,0.1,0.0,0.0,2017-06-23,610979,606006
2017,6,24,89.0,74.0,0.07,0.0,0.0,2017-06-24,280619,277799
2017,6,25,88.0,72.0,0.0,0.0,0.0,2017-06-25,208016,206270
2017,6,26,84.0,68.0,0.0,0.0,0.0,2017-06-26,657318,652341
2017,6,27,82.0,66.0,0.07,0.0,0.0,2017-06-27,699802,694286
2017,6,28,83.0,61.0,0.0,0.0,0.0,2017-06-28,694787,690462
2017,6,29,91.0,66.0,0.0,0.0,0.0,2017-06-29,698152,694031
2017,6,30,94.0,73.0,0.0,0.0,0.0,2017-06-30,610259,606874
2017,7,1,93.0,73.0,0.65,0.0,0.0,2017-07-01,232268,230480
2017,7,2,93.0,75.0,0.0,0.0,0.0,2017-07-02,193087,191659
2017,7,3,92.0,75.0,0.0,0.0,0.0,2017-07-03,479710,477112
2017,7,5,84.0,74.0,0.7,0.0,0.0,2017-07-05,618094,615491
2017,7,6,82.0,74.0,0.87,0.0,0.0,2017-07-06,630786,628456
2017,7,7,91.0,73.0,0.01,0.0,0.0,2017-07-07,626102,622703
2017,7,8,90.0,72.0,0.0,0.0,0.0,2017-07-08,264497,262469
2017,7,9,86.0,69.0,0.0,0.0,0.0,2017-07-09,193646,192089
2017,7,10,90.0,72.0,0.0,0.0,0.0,2017-07-10,630246,627837
2017,7,11,92.0,75.0,0.001,0.0,0.0,2017-07-11,674316,671869
2017,7,12,95.0,77.0,0.0,0.0,0.0,2017-07-12,678409,675595
2017,7,13,97.0,79.0,0.0,0.0,0.0,2017-07-13,663039,660051
2017,7,14,97.0,73.0,0.73,0.0,0.0,2017-07-14,607546,604826
2017,7,15,90.0,76.0,0.0,0.0,0.0,2017-07-15,243456,242700
2017,7,16,89.0,71.0,0.0,0.0,0.0,2017-07-16,173807,173940
2017,7,17,91.0,76.0,0.001,0.0,0.0,2017-07-17,619915,621245
2017,7,18,92.0,77.0,0.001,0.0,0.0,2017-07-18,669572,669713
2017,7,19,97.0,77.0,0.0,0.0,0.0,2017-07-19,675086,672490
2017,7,20,98.0,79.0,0.0,0.0,0.0,2017-07-20,666775,664042
2017,7,21,97.0,81.0,0.0,0.0,0.0,2017-07-21,609156,606083
2017,7,22,96.0,74.0,0.98,0.0,0.0,2017-07-22,228990,227753
2017,7,23,89.0,73.0,1.39,0.0,0.0,2017-07-23,163211,162719
2017,7,24,91.0,74.0,0.001,0.0,0.0,2017-07-24,606361,610047
2017,7,25,82.0,71.0,0.0,0.0,0.0,2017-07-25,679372,679660
2017,7,26,85.0,69.0,0.0,0.0,0.0,2017-07-26,697942,698246
2017,7,27,86.0,73.0,0.001,0.0,0.0,2017-07-27,672827,671297
2017,7,28,81.0,71.0,3.31,0.0,0.0,2017-07-28,556370,553175
2017,7,29,77.0,68.0,0.47,0.0,0.0,2017-07-29,236203,234831
2017,7,30,83.0,63.0,0.0,0.0,0.0,2017-07-30,202109,200720
2017,7,31,91.0,66.0,0.0,0.0,0.0,2017-07-31,606072,603704
2017,8,1,91.0,70.0,0.0,0.0,0.0,2017-08-01,640627,637655
2017,8,2,90.0,73.0,0.0,0.0,0.0,2017-08-02,643279,640301
2017,8,3,90.0,72.0,0.06,0.0,0.0,2017-08-03,641371,638427
2017,8,4,90.0,74.0,0.0,0.0,0.0,2017-08-04,595343,592497
2017,8,5,81.0,71.0,0.0,0.0,0.0,2017-08-05,252041,250526
2017,8,6,83.0,67.0,0.001,0.0,0.0,2017-08-06,177777,176619
2017,8,7,75.0,70.0,1.47,0.0,0.0,2017-08-07,551778,549442
2017,8,8,81.0,70.0,0.04,0.0,0.0,2017-08-08,635146,632311
2017,8,9,86.0,65.0,0.0,0.0,0.0,2017-08-09,631205,628319
2017,8,10,83.0,67.0,0.0,0.0,0.0,2017-08-10,626154,623369
2017,8,11,85.0,71.0,0.76,0.0,0.0,2017-08-11,565179,562368
2017,8,12,85.0,72.0,0.52,0.0,0.0,2017-08-12,228913,227675
2017,8,13,86.0,70.0,0.0,0.0,0.0,2017-08-13,184351,183227
2017,8,14,80.0,71.0,0.0,0.0,0.0,2017-08-14,551418,549054
2017,8,15,83.0,75.0,0.17,0.0,0.0,2017-08-15,593530,590828
2017,8,16,91.0,72.0,0.0,0.0,0.0,2017-08-16,614405,610837
2017,8,17,89.0,76.0,0.0,0.0,0.0,2017-08-17,592236,589841
2017,8,18,91.0,78.0,0.51,0.0,0.0,2017-08-18,523808,521185
2017,8,19,91.0,73.0,0.01,0.0,0.0,2017-08-19,218285,216997
2017,8,20,88.0,70.0,0.0,0.0,0.0,2017-08-20,150529,149570
2017,8,21,90.0,75.0,0.01,0.0,0.0,2017-08-21,543445,541241
2017,8,22,92.0,75.0,0.0,0.0,0.0,2017-08-22,591210,589194
2017,8,23,86.0,73.0,0.0,0.0,0.0,2017-08-23,604379,602569
2017,8,24,84.0,71.0,0.0,0.0,0.0,2017-08-24,600493,598836
2017,8,25,81.0,65.0,0.05,0.0,0.0,2017-08-25,566845,564900
2017,8,26,81.0,65.0,0.0,0.0,0.0,2017-08-26,237283,235837
2017,8,27,79.0,66.0,0.0,0.0,0.0,2017-08-27,168429,167133
