Start_Date,Total_Rides,Average_Duration,date,Total Positives,Total Lives Lost,Daily_Cases,ORIGIN_BLOCK_LATITUDE,ORIGIN_BLOCK_LONGITUDE,ORIGIN_BLOCKNAME,DESTINATION_BLOCK_LATITUDE,DESTINATION_BLOCK_LONGITUDE,ORIGINDATETIME_TR,DESTINATIONDATETIME_TR,DISTANCE_KM,ORIGIN_YEAR,ORIGIN_MONTH,ORIGIN_DAY,ORIGIN_HOUR,ORIGIN_DAY_OF_WEEK,DATE,Year,Month,Day,Max Temperature (F),Min Temperature (F),"Rain, Melted Snow, Etc. (in)","Snow, Ice Pellets, Hail (in)","Snow, Ice Pellets, Hail, Ice on Ground (in)",Average Temperature (F),Total Precipitation (in),Weather Category,Date,Total Entries,Total Exits
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.899817,-77.026514,1000 BLOCK H STREET NW,,,2020-03-01 20:00:00,2020-03-01 20:00:00,1.873307274700392,2020,3,1,20,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.909652,-77.033254,1400 BLOCK P STREET NW,,,2020-03-01 07:00:00,2020-03-01 07:00:00,1.873307274700392,2020,3,1,7,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.916999,-77.02756,1100 BLOCK U STREET NW,,,2020-03-01 14:00:00,2020-03-01 15:00:00,1.873307274700392,2020,3,1,14,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.897204,-77.008388,UNIT BLOCK MASSACHUSETTS AVENUE NE,,,2020-03-01 05:00:00,2020-03-01 05:00:00,1.873307274700392,2020,3,1,5,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.90193,-77.031954,900 BLOCK 14TH STREET NW,,,2020-03-01 05:00:00,2020-03-01 05:00:00,1.873307274700392,2020,3,1,5,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.903307,-77.05236,2400 BLOCK PENNSYLVANIA AVENUE NW,,,2020-03-01 15:00:00,2020-03-01 15:00:00,1.873307274700392,2020,3,1,15,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.918649,-77.031952,2100 BLOCK 14TH STREET NW,,,2020-03-01 06:00:00,2020-03-01 06:00:00,1.873307274700392,2020,3,1,6,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.903132,-77.036541,1000 BLOCK 16TH STREET NW,,,2020-03-01 17:00:00,2020-03-01 17:00:00,1.873307274700392,2020,3,1,17,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.879895,-77.025367,UNIT BLOCK DISTRICT SQUARE SW,,,2020-03-01 05:00:00,2020-03-01 05:00:00,1.873307274700392,2020,3,1,5,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.902594,-77.060624,3000 BLOCK K STREET NW,,,2020-03-01 02:00:00,2020-03-01 02:00:00,1.873307274700392,2020,3,1,2,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.880605,-77.024559,700 BLOCK 9TH STREET SW,,,2020-03-01 04:00:00,2020-03-01 04:00:00,1.873307274700392,2020,3,1,4,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,,,Unknown,,,2020-03-01 20:00:00,2020-03-01 20:00:00,1.873307274700392,2020,3,1,20,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.87753,-77.004032,100 BLOCK L STREET SE,,,2020-03-01 12:00:00,2020-03-01 12:00:00,1.873307274700392,2020,3,1,12,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,,,Unknown,,,2020-03-01 17:00:00,2020-03-01 18:00:00,1.873307274700392,2020,3,1,17,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.952536,-77.003107,100 BLOCK GALLOWAY STREET NE,,,2020-03-01 13:00:00,2020-03-01 13:00:00,1.873307274700392,2020,3,1,13,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.909243,-77.031952,1400 BLOCK 14TH STREET NW,,,2020-03-01 06:00:00,2020-03-01 06:00:00,1.873307274700392,2020,3,1,6,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,,,Unknown,,,2020-03-01 17:00:00,2020-03-01 17:00:00,1.873307274700392,2020,3,1,17,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.879473,-77.023791,700 BLOCK MAINE AVENUE SW,,,2020-03-01 22:00:00,2020-03-01 22:00:00,1.873307274700392,2020,3,1,22,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.90324,-77.025018,900 BLOCK MASSACHUSETTS AVENUE NW,,,2020-03-01 23:00:00,2020-03-01 23:00:00,1.873307274700392,2020,3,1,23,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.926856,-77.073188,2800 BLOCK WISCONSIN AVENUE NW,,,2020-03-01 22:00:00,2020-03-01 22:00:00,1.873307274700392,2020,3,1,22,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.896881,-77.006479,UNIT BLOCK COLUMBUS CIRCLE NE,,,2020-03-01 23:00:00,2020-03-02 00:00:00,1.873307274700392,2020,3,1,23,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.879895,-77.025367,UNIT BLOCK DISTRICT SQUARE SW,,,2020-03-01 04:00:00,2020-03-01 04:00:00,1.873307274700392,2020,3,1,4,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.881026,-77.026982,UNIT BLOCK MARKET SQUARE SW,,,2020-03-01 05:00:00,2020-03-01 05:00:00,1.873307274700392,2020,3,1,5,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.902523,-77.038978,1700 BLOCK K STREET NW,,,2020-03-01 15:00:00,2020-03-01 15:00:00,1.873307274700392,2020,3,1,15,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.921623,-77.042365,2400 BLOCK 18TH STREET NW,,,2020-03-01 06:00:00,2020-03-01 06:00:00,1.873307274700392,2020,3,1,6,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-01,5309,16.603663590129965,0,0.0,0.0,0.0,38.905851,-77.048806,1200 BLOCK 22ND STREET NW,,,2020-03-01 22:00:00,2020-03-01 22:00:00,1.873307274700392,2020,3,1,22,6,2020-03-01,2020,3,1,52.0,26.0,0.0,0.0,0.0,39.0,0.0,Sunny,2020-03-01,"156,368","154,681"
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0,38.887585,-77.00861,UNIT BLOCK INDEPENDENCE AVENUE SE,,,2020-03-02 19:00:00,2020-03-02 19:00:00,1.873307274700392,2020,3,2,19,0,2020-03-02,2020,3,2,67.0,38.0,0.09,0.0,0.0,52.5,0.09,Rainy,2020-03-02,"620,209","615,772"
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0,,,Unknown,,,2020-03-02 15:00:00,2020-03-02 15:00:00,1.873307274700392,2020,3,2,15,0,2020-03-02,2020,3,2,67.0,38.0,0.09,0.0,0.0,52.5,0.09,Rainy,2020-03-02,"620,209","615,772"
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0,38.918649,-77.031952,2100 BLOCK 14TH STREET NW,,,2020-03-02 22:00:00,2020-03-02 22:00:00,1.873307274700392,2020,3,2,22,0,2020-03-02,2020,3,2,67.0,38.0,0.09,0.0,0.0,52.5,0.09,Rainy,2020-03-02,"620,209","615,772"
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0,38.916384,-77.046519,1900 BLOCK CONNECTICUT AVENUE NW,,,2020-03-02 17:00:00,2020-03-02 17:00:00,1.873307274700392,2020,3,2,17,0,2020-03-02,2020,3,2,67.0,38.0,0.09,0.0,0.0,52.5,0.09,Rainy,2020-03-02,"620,209","615,772"
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0,38.85445,-76.967619,2700 BLOCK HARTFORD STREET SE,,,2020-03-02 11:00:00,2020-03-02 12:00:00,1.873307274700392,2020,3,2,11,0,2020-03-02,2020,3,2,67.0,38.0,0.09,0.0,0.0,52.5,0.09,Rainy,2020-03-02,"620,209","615,772"
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0,38.895455,-77.011189,400 BLOCK NEW JERSEY AVENUE NW,,,2020-03-02 18:00:00,2020-03-02 18:00:00,1.873307274700392,2020,3,2,18,0,2020-03-02,2020,3,2,67.0,38.0,0.09,0.0,0.0,52.5,0.09,Rainy,2020-03-02,"620,209","615,772"
2020-03-02,7646,13.77260877147092,0,0.0,0.0,0.0,38.898745,-77.038713,1600 BLOCK PENNSYLVANIA AVENUE NW,,,2020-03-02 22:00:00,2020-03-02 22:00:00,1.873307274700392,2020,3,2,22,0,2020-03-02,2020,3,2,67.0,38.0,0.09,0.0,0.0,52.5,0.09,Rainy,2020-03-02,"620,209","615,772"
